year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1978,11/7/78,1978-01-19,speech,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,61/100,Liberal,1977-1981,1,1,Midterm,Peace,Peace
1978,11/7/78,1978-01-19,written,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,61/100,Liberal,1977-1981,1,1,Midterm,Peace,Peace
1979,,1979-01-25,speech,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,58/100,Liberal,1977-1981,2,1,Midterm,Peace,Peace
1979,,1979-01-25,written,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,58/100,Liberal,1977-1981,2,2,Midterm,Peace,Peace
1980,11/4/80,1980-01-21,speech,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,58/100,Liberal,1977-1981,3,2,Midterm,Peace,Peace
1980,11/4/80,1980-01-21,written,Jimmy Carter,10/1/24,Georgia,-,South,Democratic,58/100,Liberal,1977-1981,3,2,Midterm,Peace,Peace
1981,,1981,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,53/100,Conservative,1981-1985,1,1,Midterm,Peace,Peace
1981,,1981-01-16,written,Jimmy Carter,6/12/24,Georgia,-,South,Democratic,46/100,Liberal,1977-1981,4,2,Reelected,Peace,Peace
1982,11/2/82,1982-01-26,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,53/100,Conservative,1981-1985,2,1,Midterm,Peace,Peace
1983,,1983-01-25,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,55/100,Conservative,1981-1985,3,1,Midterm,Peace,Peace
1984,11/6/84,1984-01-25,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,55/100,Conservative,1981-1985,4,1,Midterm,Peace,Peace
1985,,1985-02-06,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,53/100,Conservative,1985-1989,5,2,Reelected,Peace,Peace
1986,11/4/86,1986-02-04,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,53/100,Conservative,1985-1989,6,2,Midterm,Peace,Peace
1987,,1987-01-27,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,45/100,Conservative,1985-1989,7,2,Midterm,Peace,Peace
1988,11/8/88,1988-01-25,speech,Ronald Reagan,2/6/11,Illinois,California,Pacific,Republican,45/100,Conservative,1985-1989,8,2,Midterm,Peace,Peace
1989,,1989-02-09,speech,George Bush,6/12/24,Massachusettes,-,South,Republican,45/100,Conservative,1989-1993,1,1,Midterm,Peace,Peace
1990,11/6/90,1990-01-31,speech,George Bush,6/12/24,Massachusettes,-,South,Republican,45/100,Conservative,1989-1993,2,1,Midterm,Peace,Peace
1991,,1991-01-29,speech,George Bush,6/12/24,Massachusettes,-,South,Republican,44/100,Conservative,1989-1993,3,1,Midterm,Peace,War
1992,11/3/92,1991-01-28,speech,George Bush,6/12/24,Massachusettes,-,South,Republican,44/100,Conservative,1989-1993,4,1,Midterm,Peace,Peace
1993,,1993-02-17,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,57/100,Liberal,1993-1997,1,1,Newly Elected,Peace,Peace
1994,11/8/94,1994-01-25,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,57/100,Liberal,1993-1997,2,1,Midterm,Peace,Peace
1995,,1995-01-24,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,48/200,Liberal,1993-1997,3,1,Midterm,Peace,Peace
1996,11/5/96,1996-01-23,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,48/100,Liberal,1993-1997,4,1,Midterm,Peace,Peace
1997,,1997-02-04,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,45/100,Liberal,1997-2001,5,2,Reelected,Peace,Peace
1998,11/3/98,1998-01-27,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,45/100,Liberal,1997-2001,6,2,Midterm,Peace,Peace
1999,,1999-01-19,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,45/100,Liberal,1997-2001,7,2,Midterm,Peace,Peace
2000,11/7/00,2000-01-27,speech,William J. Clinton,8/19/46,Arkansas ,-,South,Democratic,45/100,Liberal,1997-2001,8,2,Midterm,Peace,Peace
2001,,2001-02-27,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,50/100,Conservative,2001-2005,1,1,Newly Elected,Peace,Peace
2002,11/5/02,2002-01-29,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,50/100,Conservative,2001-2005,2,1,Midterm,Peace,War
2003,,2003-02-28,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,51/100,Conservative,2001-2005,3,1,Midterm,Peace,War
2004,11/2/04,2004-01-24,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,51/100,Conservative,2001-2005,4,1,Midterm,Peace,War
2005,,2005-02-02,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,55/100,Conservative,2005-2009,5,2,Reelected,Peace,War
2006,11/7/06,2006-01-31,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,55/100,Conservative,2005-2009,6,2,Midterm,Peace,War
2007,,2007-01-23,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,49/100,Conservative,2005-2009,7,2,Midterm,Peace,War
2008,11/4/08,2008-01-28,speech,George W. Bush,7/6/46,Connecticut,-,South,Republican,49/100,Conservative,2005-2009,8,2,Midterm,Peace,War
2009,,2009-02-24,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,57/100,Liberal,2009-2013,1,1,Newly Elected,Peace,War
2010,11/2/10,2010-01-27,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,57/100,Liberal,2009-2013,2,1,Midterm,Peace,War
2011,,2011-01-25,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,51/100,Liberal,2009-2013,3,1,Midterm,Peace,War
2012,11/6/12,2012-01-24,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,51/100,Liberal,2009-2013,4,1,Midterm,Peace,War
2013,,2013-02-12,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,53/100,Liberal,2013-2016,5,2,Reelected,Peace,War
2014,11/4/14,2014-01-28,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,53/100,Liberal,2013-2016,6,2,Midterm,Peace,War
2015,,2015-01-20,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,44/100,Liberal,2013-2016,7,2,Midterm,Peace,War
2016,11/8/16,2017-01-12,speech,Barack Obama,8/4/61,Hawaii,-,North,Democratic,44/100,Liberal,2013-2016,8,2,Midterm,Peace,War
