year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1848,1848-11-07,1848-12-05,written,James K. Polk,1795-11-02,Virginia ,Virginia ,Colonial South,Democratic,38/60,Conservative,1845-1849,4,1,Lame Duck ,Peace,Peace
1849,-,1849-12-04,written,Zachary Taylor,1784-11-24,Virginia ,Washington D.C.,Colonial South,Whig,25/62,Liberal,1849-1850,1,1,Newly Elected,Peace,Peace
1850,1850-08-05,1850-12-02,written,Millard Fillmore,1800-01-07,New York,New York,New England,Whig,25/62,Liberal,1850-1853,1,0,Replacement,Peace,Peace
1851,-,1851-12-02,written,Millard Fillmore,1800-01-07,New York,New York,New England,Whig,23/62,Liberal,1850-1853,2,0,Midterm,Peace,Peace
1852,1852-11-02,1852-12-06,written,Millard Fillmore,1800-01-07,New York,New York,New England,Whig,23/62,Liberal,1850-1853,3,0,Lame Duck ,Peace,Peace
1853,-,1853-12-05,written,Franklin Pierce,1804-11-23,New Hampshire,New Hampshire,New England,Democratic,38/62,Conservative,1853-1857,1,1,Newly Elected,Peace,Peace
1854,1854-08-04,1854-12-04,written,Franklin Pierce,1804-11-23,New Hampshire,New Hampshire,New England,Democratic,38/62,Conservative,1853-1857,2,1,Midterm,Peace,Peace
1855,-,1855-12-31,written,Franklin Pierce,1804-11-23,New Hampshire,New Hampshire,New England,Democratic,39/62,Conservative,1853-1857,3,1,Midterm,Peace,Peace
1856,1856-12-03,1856-12-02,written,Franklin Pierce,1804-11-23,New Hampshire,New Hampshire,New England,Democratic,39/62,Conservative,1853-1857,4,1,Midterm,Peace,Peace
1857,-,1857-12-08,written,James Buchanan,1791-04-23,Pennsylvania,Pennsylvania,New England,Democratic,41/66,Conservative,1857-1861,1,1,Newly Elected,Peace,Peace
1858,1858-08-02,1858-12-19,written,James Buchanan,1791-04-23,Pennsylvania,Pennsylvania,New England,Democratic,41/66,Conservative,1857-1861,2,1,Midterm,Peace,Peace
1859,-,1859-12-19,written,James Buchanan,1791-04-23,Pennsylvania,Pennsylvania,New England,Democratic,38/66,Conservative,1857-1861,3,1,Midterm,Peace,Peace
1860,1860-11-06,1860-12-03,written,James Buchanan,1791-04-23,Pennsylvania,Pennsylvania,New England,Democratic,38/66,Conservative,1857-1861,4,1,Lame Duck ,Peace,Peace
1861,,1861-12-03,written,Abraham Lincoln,1809-02-12,Kentucky,Washington D.C.,North,Republican,31/50,Liberal,1861-1865,1,1,Newly Elected,Peace,War
1862,1862-06-02,1862-12-01,written,Abraham Lincoln,1809-02-12,Kentucky,Washington D.C.,North,Republican,31/50,Liberal,1861-1865,2,1,Midterm,Peace,War
1863,,1863-12-08,written,Abraham Lincoln,1809-02-12,Kentucky,Washington D.C.,North,Republican,33/52,Liberal,1861-1865,3,1,Midterm,Peace,War
1864,1864-11-08,1864-12-06,written,Abraham Lincoln,1809-02-12,Kentucky,Washington D.C.,North,Republican,33/52,Liberal,1861-1865,4,1,Reelected,Peace,War
1865,-,1865-12-04,written,Andrew Johnson,1809-02-16,North Carolina,Tennessee,South,Republican,39/54,Liberal,1865-1869,1,0,Replacement,Peace,War
1866,1866-06-04,1866-12-03,written,Andrew Johnson,1809-02-16,North Carolina,Tennessee,South,Republican,39/54,Liberal,1865-1869,2,0,Midterm,Peace,Peace
1867,-,1867-12-03,written,Andrew Johnson,1809-02-16,North Carolina,Tennessee,South,Republican,57/68,Liberal,1865-1869,3,0,Midterm,Peace,Peace
1868,1868-12-02,1868-12-09,written,Andrew Johnson,1809-02-16,North Carolina,Tennessee,South,Republican,57/68,Liberal,1865-1869,4,0,Lame Duck ,Peace,Peace
1869,-,1869-12-06,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,62/74,Liberal,1869-1873,1,1,Newly Elected,Peace,Peace
1870,1870-06-06,1870-12-05,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,62/74,Liberal,1869-1873,2,1,Midterm,Peace,Peace
1871,-,1871-12-04,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,56/74,Liberal,1869-1873,3,1,Midterm,Peace,Peace
1872,1872-11-05,1872-12-02,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,56/74,Liberal,1869-1873,4,1,Reelected,Peace,Peace
1873,-,1873-12-01,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,47/74,Liberal,1873-1877,5,2,Midterm,Peace,Peace
1874,1874-11-03,1874-12-07,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,47/74,Liberal,1873-1877,6,2,Midterm,Peace,Peace
1875,-,1875-12-07,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,46/76,Liberal,1873-1877,7,2,Midterm,Peace,Peace
1876,1876-11-07,1876-12-05,written,Ulysses S. Grant,1822-04-27,Ohio,New York,North,Republican,46/76,Liberal,1873-1877,8,2,Lame Duck ,Peace,Peace
1877,-,1877-12-03,written,Rutherford B. Hayes,1822-10-04,Ohio,Ohio,North,Republican,40/76,Liberal,1877-1881,1,1,Newly Elected,Peace,Peace
1878,1878-11-05,1878-12-02,written,Rutherford B. Hayes,1822-10-04,Ohio,Ohio,North,Republican,40/76,Liberal,1877-1881,2,1,Midterm,Peace,Peace
1879,-,1879-12-01,written,Rutherford B. Hayes,1822-10-04,Ohio,Ohio,North,Republican,33/76,Liberal,1877-1881,3,1,Midterm,Peace,Peace
1880,1880-11-02,1880-12-06,written,Rutherford B. Hayes,1822-10-04,Ohio,Ohio,North,Republican,33/76,Liberal,1877-1881,4,1,Lame Duck ,Peace,Peace
1881,-,1881-12-06,written,Chester A. Arthur,1829-10-05,Vermont,New York,New England,Republican,37/76,Liberal,1881-1885,1,1,Replacement,Peace,Peace
1882,1882-11-07,1882-12-04,written,Chester A. Arthur,1829-10-05,Vermont,New York,New England,Republican,37/76,Liberal,1881-1885,2,1,Midterm,Peace,Peace
1883,-,1883-12-04,written,Chester A. Arthur,1829-10-05,Vermont,New York,New England,Republican,38/76,Liberal,1881-1885,3,1,Midterm,Peace,Peace
1884,1884-11-04,1884-12-01,written,Chester A. Arthur,1829-10-05,Vermont,New York,New England,Republican,38/76,Liberal,1881-1885,4,1,Lame Duck ,Peace,Peace
1885,-,1885-12-08,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,34/76,Conservative,1885-1889,1,1,Newly Elected,Peace,Peace
1886,1886-11-02,1886-12-06,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,34/76,Conservative,1885-1889,2,1,Midterm,Peace,Peace
1887,-,1887-12-06,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,37/76,Conservative,1885-1889,3,1,Midterm,Peace,Peace
1888,1888-11-06,1888-12-03,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,37/76,Conservative,1885-1889,4,1,Lame Duck ,Peace,Peace
1889,-,1889-12-03,written,Benjamin Harrison,1833-08-20,Ohio,Indiana,North,Republican,51/88,Liberal,1889-1893,1,1,Newly Elected,Peace,Peace
1890,1890-11-04,1890-12-01,written,Benjamin Harrison,1833-08-20,Ohio,Indiana,North,Republican,51/88,Liberal,1889-1893,2,1,Midterm,Peace,Peace
1891,-,1891-12-09,written,Benjamin Harrison,1833-08-20,Ohio,Indiana,North,Republican,47/88,Liberal,1889-1893,3,1,Midterm,Peace,Peace
1892,1892-11-08,1892-12-02,written,Benjamin Harrison,1833-08-20,Ohio,Indiana,North,Republican,47/88,Liberal,1889-1893,4,1,Lame Duck ,Peace,Peace
1893,-,1893-12-04,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,44/48,Conservative,1893-1897,1,1,Newly Elected,Peace,Peace
1894,1894-1106,1894-12-03,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,44/48,Conservative,1893-1897,2,1,Midterm,Peace,Peace
1895,-,1895-12-02,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,40/90,Conservative,1893-1897,3,1,Midterm,Peace,Peace
1896,1896-11-03,1896-12-07,written,Grover Cleveland,1837-03-18,New Jersey,New Jersey,New England,Democratic,40/90,Conservative,1893-1897,4,1,Lame Duck ,Peace,Peace
1897,-,1897-12-06,written,William McKinley,1843-01-29,Ohio,New York,North,Republican,44/90,Liberal,1897-1901,1,1,Newly Elected,Peace,Peace
1898,1898-11-08,1898-12-05,written,William McKinley,1843-01-29,Ohio,New York,North,Republican,44/90,Liberal,1897-1901,2,1,Midterm,Declared,War
1899,-,1899-12-05,written,William McKinley,1843-01-29,Ohio,New York,North,Republican,53/90,Liberal,1897-1901,3,1,Midterm,Peace,War
1900,11/6/00,1900-12-03,written,William McKinley,1843-01-29,Ohio,New York,North,Republican,53/90,Liberal,1897-1901,4,1,Lame Duck ,Peace,War
1901,-,1901-12-03,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,56/90,Liberal,1901-1905,1,1,Replacement,Peace,War
1902,11/4/02,1902-12-02,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,56/90,Liberal,1901-1905,2,1,Midterm,Peace,Peace
1903,-,1903-12-07,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,57/90,Liberal,1901-1905,3,1,Midterm,Peace,Peace
1904,11/8/04,1904-12-06,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,57/90,Liberal,1901-1905,4,1,Reelected,Peace,Peace
1905,-,1905-12-05,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,58/90,Liberal,1905-1909,5,2,Midterm,Peace,Peace
1906,11/6/06,1906-12-03,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,58/90,Liberal,1905-1909,6,2,Midterm,Peace,Peace
1907,-,1907-12-03,written,Theodore Roosevelt,1858-10-27,New York,New York,New England,Republican,61/92,Liberal,1905-1909,7,2,Midterm,Peace,Peace
